Date,Type,Link
2023-01-30 20:18:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7025443118451707904
2023-01-27 14:55:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7024044303756746754
2023-01-27 14:54:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7018832478102544385
2023-01-26 08:58:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7023681784190001152
2023-01-22 14:23:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A25827-7022294455558828032
2023-01-21 13:54:56,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7021756570086567936
2023-01-20 02:20:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7021916603537580032
2023-01-17 14:32:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7021059849249525760
2023-01-17 03:20:04,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7020423683378720768
2023-01-17 03:13:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7020818272568623104
2023-01-16 15:13:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7020603725840850944
2023-01-14 04:02:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7019641786444722176
2023-01-12 17:11:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7015645514746507264
2023-01-12 09:32:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7016914284488052736
2023-01-11 16:58:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7018788583645851649
2023-01-10 07:10:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017668480858509312
2023-01-10 07:09:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7010391463876284416
2023-01-07 14:56:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017489327941160960
2023-01-07 08:50:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017406427585531904
2023-01-07 08:12:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7016913222100221952
2023-01-07 08:12:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7017058873194725376
2023-01-05 16:45:26,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016065935098703872
2023-01-03 17:41:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7015616471531704320
2023-01-02 12:18:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7015521689971175424
2023-01-01 14:13:27,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7015195376047595520
2022-12-31 17:07:47,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7011784578050764801
2022-12-31 15:04:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7014893139354095616
2022-12-31 09:17:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7014861237066842112
2022-12-30 15:29:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7014609830019493888
2022-12-27 16:42:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7013530328896086016
2022-12-27 14:21:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7012703750893015040
2022-12-23 08:30:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7011908589262925824
2022-12-21 04:22:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7007994931956846593
2022-12-21 04:18:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7003349290102243328
2022-12-21 04:17:15,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7009480038475591680
2022-12-21 04:14:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7007578657086976000
2022-12-20 15:16:46,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7006497594818396160
2022-12-20 14:46:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7010548432272572416
